Date,Open,High,Low,Close,Adj Close,Volume
2017-11-30,4.570000,4.580000,4.350000,4.370000,4.370000,10642600
2017-12-01,4.350000,4.380000,4.180000,4.300000,4.300000,8964100
2017-12-04,4.390000,4.455000,4.270000,4.370000,4.370000,7001100
2017-12-05,4.370000,4.390000,4.250000,4.250000,4.250000,5586500
2017-12-06,4.230000,4.280000,4.160000,4.250000,4.250000,5395700
2017-12-07,3.710000,3.940000,3.290000,3.590000,3.590000,47965000
2017-12-08,3.740000,3.740000,3.460000,3.510000,3.510000,20153600
2017-12-11,3.905000,3.970000,3.400000,3.890000,3.890000,54735300
2017-12-12,3.930000,4.420000,3.930000,4.210000,4.210000,28711000
2017-12-13,4.220000,4.250000,3.770000,4.020000,4.020000,14917500
2017-12-14,3.990000,4.140000,3.930000,3.990000,3.990000,6406500
2017-12-15,4.000000,4.100000,3.900000,4.030000,4.030000,11133400
2017-12-18,4.100000,4.200000,4.055000,4.140000,4.140000,10423200
2017-12-19,4.150000,4.190000,4.030000,4.050000,4.050000,10174600
2017-12-20,4.060000,4.136000,4.010000,4.090000,4.090000,7360300
2017-12-21,4.100000,4.170000,4.080000,4.110000,4.110000,4497400
2017-12-22,4.100000,4.145000,4.040000,4.110000,4.110000,3050400
2017-12-26,4.110000,4.275000,4.090000,4.210000,4.210000,3941900
2017-12-27,4.210000,4.280000,4.100000,4.120000,4.120000,7420300
2017-12-28,4.150000,4.190000,4.083000,4.180000,4.180000,4410900
2017-12-29,4.190000,4.200000,4.100000,4.130000,4.130000,2922800
